,User,Chat
450,dkdfgh5692,아이언이나브론즈나실버나골드나플레나 거기서 거기다
451,아르토리아크,어처피 우승은 젠지임;
452,헉슬리이,무관행동 춰비 ㅎㅇㅌ
453,왕만두조아,딱봐도 담원이 3대 0으로 이길거 같은데
454,노믹스위애비,담기많응!!!
455,Surrender_Coach,20담원은 걍 물로켓임 ㅇㅇ
456,레몬맛카페인,아 치킨먹고싶다
457,tomc9,20 땐 쇼매도 지렸지
458,cotjd5648,담민이들 버스도못타면서 뭘 하겠단거지ㅋㅋㅋ
459,My3136,담민이 멸망각이라면ㅅ리요?
460,아아안ㅇㄻㄴㅇㄻㄴㅇㄹ,무관vs난쟁이
461,우헤헤헤_,ㅎㅇㅌ
462,goaheadwj,자 드가자
463,행복하고싶네요,젠지가 이기면 담민이들 빼에엑 거리는거 볼만하겠네
464,에따봉,솔직히 담원 20년도 한번 번쩍했다고 자부심가지는거 역겹네 ㄹㅇ
465,재현3920,ㄷㄱㅈ
466,MILINAE88,???: 서로 죽여라
467,순응_,@dwggod 뭔 말같지도 않은소리 하고있어ㅋㅋㅋㅋ 관계자 누구?? 말해봐 관계자 누구임ㅋㅋ 하는소리 ㄹㅇ 담민이같은소리하네
468,roserose4426,@dwggod 억까도 제대로 잘 한다 모든 우승 팀 팀원들이 운이 따라줬다고 말하는데 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
469,showmaker_kkens_chovy,담원기아 파이팅!!!
470,어둑신,이겨도 무관이니까 오늘은 쵸비가 이김
471,chukbogi1,쵸비가 다 팬다 담웜들아
472,myjgh1231,아 젠담전 감정이입 안하고 팝콘뜯을생각하니까 벌써 즐겁노 ㅋㅋㅋ
473,qopals,오늘 젠지한테 지면 쵸비까던애들 결승때 개빨는거 사실?!ㅋㅋㅋㅋㅋ
474,카롱단_조하영,우승확정은 무슨 담원은 무적함대 젠지나 이기고 와... 티젠이랑 다른 팀들이랑 수준이 다른데 무슨
475,회색나비,코로나 걸린 팀 상대로 2패배 ㅋㅋ
476,lilililillllliiiiiii,담민이vs대꼐맥 ㅋㅋㅋㅋㅋㅋ
477,CoyoteBen,Puro pinche GEN
478,월다_,담원이 빈집털이만 잘했어도 2등이였을텐데 ㅠㅠ
479,diana_ipaz,GENG OR DK???)
480,sagria04,20담원은 까지말지..
481,송이버섯섯,ㅋ
482,쵸비상182,응 20담원 15skt한테 ㅈ발리죠
483,hunseo3495,자 드가자~
484,왕만두조아,현 세체미는 아직까진 쇼메지 아직 롤드컵 최근 우승자가 쇼메니까
485,헬로우181818,20담원때는 22젠지 21티원이 2등이 아닌 20 DRX가 2등
486,geoleo99,faker
487,zxas667,담원기아 우승하자!!
488,zmfqkr11,담민이들 멸망으 ㅣ시간 ㅋㅋㅋㅋㅋㅋ
489,김페민,딱봐도 젠지가 이김
490,아르토리아크,물로켓충들끼리 뭘 싸우냐 그냥 든든하게 상위권 유지하는 젠지가 갑이지
491,ggitaek08,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아 롤갤러들 마인드 좀 무섭다
492,우맨123,걍 5꽉만 했으면 좋겠다
493,ㄹㅏㅇㅣ언,그리고 20년도에는 신드라가좋았음 그래서 지금 쇼메가 아무것도 못하는거임
494,뭐하라구여,'무관'중 역체미 vs '무관중' 역체미 ㄷㄷㄷ
495,tomc9,슼이긴 한데 인정은 해라 롤드컵도 우승했었는데 뭘 물로켓이여
496,Surrender_Coach,20담원은 걍 물로켓임 ㅇㅇ
497,pakasup,20 담원은 22 슼급 아니었나? 전승은 아니어도 거의 모든 경기 2대0내고
498,tictvhtw,둘 중 어디가 역배야??? DK가 역배인가??
499,창바람,젠지 이기는 날인가
500,sspn2,근데 22티원이랑 20담원이 한 시즌에 있었으면 개 웅장하긴 했을듯
501,방뱅뱅,젠지 3:0 화이팅
